signal,as_of_date,quintile,observations,mean_target_21d_excess,median_target_21d_excess,mean_target_21d
amihud_illiquidity_20d_sector_neutral,2014-11-28,5,10,0.0003169133551901737,-0.003973631365254526,0.02236633623821054
amihud_illiquidity_20d_sector_neutral,2014-12-31,1,10,0.004705577114504933,-0.023437640830301865,-0.004216609902311863
amihud_illiquidity_20d_sector_neutral,2014-12-31,2,10,-0.03938673594120703,-0.036281672053345426,-0.048308922958023824
amihud_illiquidity_20d_sector_neutral,2014-12-31,3,10,-0.006833318818994671,0.0015824262475377937,-0.015755505835811468
amihud_illiquidity_20d_sector_neutral,2014-12-31,4,10,-0.003912982903810869,0.00036333809492200553,-0.012835169920627665
amihud_illiquidity_20d_sector_neutral,2014-12-31,5,10,0.04379606278355328,0.016308051186744388,0.034873875766736485
amihud_illiquidity_20d_sector_neutral,2015-01-30,1,10,0.018288914057134665,0.021398977025675947,0.07876777388373717
amihud_illiquidity_20d_sector_neutral,2015-01-30,2,10,-0.03544015261548281,-0.020917224279223823,0.02503870721111969
amihud_illiquidity_20d_sector_neutral,2015-01-30,3,10,-0.0015194778105456995,0.008141488726226331,0.058959382016056806
amihud_illiquidity_20d_sector_neutral,2015-01-30,4,10,-0.01101750202892362,-0.005824169002523694,0.049461357797678886
amihud_illiquidity_20d_sector_neutral,2015-01-30,5,10,0.016040031399721644,0.005730688012987595,0.07651889122632415
amihud_illiquidity_20d_sector_neutral,2015-02-27,1,10,-0.01623710213045636,-0.0057423080164237805,-0.02595541627464436
amihud_illiquidity_20d_sector_neutral,2015-02-27,2,10,-0.0012975109430372722,-0.003074927508596337,-0.011015825087225272
amihud_illiquidity_20d_sector_neutral,2015-02-27,3,10,0.00011426336059974229,-0.0005192979528100827,-0.009604050783588258
amihud_illiquidity_20d_sector_neutral,2015-02-27,4,10,-0.006034796594482361,-0.002502385151864517,-0.01575311073867036
amihud_illiquidity_20d_sector_neutral,2015-02-27,5,10,0.025384273438069538,0.03306975641868537,0.015665959293881537
amihud_illiquidity_20d_sector_neutral,2015-03-31,1,10,0.05966915061067455,0.04419476986729026,0.05717824362790207
amihud_illiquidity_20d_sector_neutral,2015-03-31,2,10,0.0019078664042465165,-0.001952670562379577,-0.000583040578525973
